Sample_ID,Execution_Time_us,CPU_Cycles,Overrun_Flag,Task_Status
1,12.20,1220,0,Nominal
2,12.40,1240,0,Nominal
3,12.35,1235,0,Nominal
4,12.50,1250,0,Nominal
5,12.15,1215,0,Nominal
6,12.40,1240,0,Nominal
7,12.60,1260,0,Nominal
8,12.45,1245,0,Nominal
9,12.30,1230,0,Nominal
10,12.40,1240,0,Nominal
11,12.85,1285,0,Cache_Jitter
12,13.10,1310,0,Cache_Jitter
13,12.40,1240,0,Nominal
14,12.35,1235,0,Nominal
15,14.10,1410,0,p95_Boundary_Branch_Miss
16,12.45,1245,0,Nominal
17,12.50,1250,0,Nominal
18,13.80,1380,0,Branch_Miss
19,12.40,1240,0,Nominal
20,12.30,1230,0,Nominal
21,16.50,1650,0,p99_Boundary_Interrupt_Stacking
22,12.45,1245,0,Nominal
23,12.60,1260,0,Nominal
24,12.55,1255,0,Nominal
25,18.20,1820,0,WCET_Max_Protection_Logic_Path
