bootstrap_id,lambda_real,lambda_imag,damping_ratio_from_pole,provenance
1,-14.1,121.5,0.11527574306006957,user-supplied summary point
2,-14.3,122.1,0.11632207296866655,user-supplied summary point
3,-14.5,122.8,0.11726353477619733,user-supplied summary point
4,-14.7,121.9,0.1197232758565673,user-supplied summary point
5,-14.8,122.4,0.12004069271273081,user-supplied summary point
6,-14.9,123.1,0.12016277517353958,user-supplied summary point
7,-15.1,122.0,0.12283321840908086,user-supplied summary point
8,-15.2,122.6,0.1230384096464695,user-supplied summary point
9,-15.4,121.8,0.1254381138893791,user-supplied summary point
10,-15.6,123.2,0.12562031589320527,user-supplied summary point
