Bootstrap_ID,Real_Part,Imag_Part,Damping_Ratio_Zeta,Frequency_Hz
1,-15.10,122.10,0.1227,19.43
2,-15.45,122.50,0.1251,19.50
3,-15.25,122.35,0.1237,19.47
4,-15.60,122.80,0.1260,19.54
5,-15.30,122.40,0.1240,19.48
6,-15.05,121.90,0.1225,19.40
7,-15.35,122.45,0.1244,19.49
8,-15.55,122.75,0.1257,19.54
9,-15.15,122.25,0.1230,19.46
10,-15.40,122.60,0.1246,19.51
11,-15.20,122.30,0.1233,19.46
12,-15.65,122.90,0.1263,19.56
13,-15.28,122.38,0.1239,19.48
14,-14.95,121.80,0.1219,19.38
15,-15.50,122.65,0.1254,19.52
16,-15.32,122.42,0.1242,19.48
17,-15.18,122.15,0.1233,19.44
18,-15.48,122.55,0.1253,19.50
19,-15.22,122.28,0.1235,19.46
20,-15.38,122.58,0.1245,19.51
