bootstrap_id,lambda_real,lambda_imag,damping_ratio_from_pole,source_type,synthetic,evidence_eligible
1,-14.1,121.5,0.11527574306006957,user_supplied_example,False,False
2,-14.3,122.1,0.11632207296866655,user_supplied_example,False,False
3,-14.5,122.8,0.11726353477619733,user_supplied_example,False,False
4,-14.7,121.9,0.1197232758565673,user_supplied_example,False,False
5,-14.8,122.4,0.12004069271273081,user_supplied_example,False,False
6,-14.9,123.1,0.12016277517353958,user_supplied_example,False,False
7,-15.1,122.0,0.12283321840908086,user_supplied_example,False,False
8,-15.2,122.6,0.1230384096464695,user_supplied_example,False,False
9,-15.4,121.8,0.1254381138893791,user_supplied_example,False,False
10,-15.6,123.2,0.12562031589320527,user_supplied_example,False,False
11,-13.7,121.7,0.11186532667121418,synthetic_extension,True,False
12,-13.9,122.9,0.11238358088529966,synthetic_extension,True,False
13,-14.2,122.3,0.11533312793459323,synthetic_extension,True,False
14,-14.6,123.0,0.11787171487735115,synthetic_extension,True,False
15,-15.0,121.6,0.12242732089711902,synthetic_extension,True,False
16,-15.3,122.2,0.12423460675446493,synthetic_extension,True,False
17,-15.5,122.9,0.12512758515862674,synthetic_extension,True,False
18,-15.7,121.9,0.1277389890484543,synthetic_extension,True,False
19,-15.9,122.5,0.1287162071317822,synthetic_extension,True,False
20,-16.0,123.0,0.12899451155145997,synthetic_extension,True,False
